key,country,classification,common_name_french_CM_doc,common_name_english_CM_doc,scientific_name_CM_doc,scientific_name_CM_final,category,common_name_french_wikipedia,common_name_french_IUCN,Fr_common_name_display_CM_final,common_name_prov,comment,scientific_name_label,document_title,date_of_law,source_document,source_type,source_link,source_accessed
263,CM,B,Effraie des clochers,African Grass Owl,Tyto capensis,Tyto capensis,LC,,Chouette effraie du Cap,Chouette effraie du Cap,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
264,CM,B,Effraie du Cap,Barn Owl,Tyto alba,Tyto alba,LC,,Chouette Effraie,Chouette Effraie,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
265,CM,B,Elanion blanc,Black-shouldered Kite,Elanus caeruleus,Elanus caeruleus,LC,,Elanion Blanc,Elanion Blanc,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
266,CM,B,Elanion naucler,African Swallow-tailed Kite,Chelictinia riocourii,Chelictinia riocourii,LC,,Elanion naucler,Elanion naucler,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
267,CM,B,Engoulevent à deux taches,Brown Nightjar,Caprimulgus binotatus,Veles binotatus,LC,,Engoulevent à deux taches,Engoulevent à deux taches,IUCN,,Re-classified,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
268,CM,B,Engoulevent de Bates,Bates's Nightjar,Caprimulgus batesi,Caprimulgus batesi,LC,,Engoulevent de Bates,Engoulevent de Bates,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
269,CM,B,Engoulevent du Natal,Swamp Nightjar,Caprimulgus natalensis,Caprimulgus natalensis,LC,,Engoulevent à queue blanche,Engoulevent à queue blanche,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
270,CM,B,Epervier de Hartlaub,Western Little Sparrowhawk,Accipiter erythropus,Accipiter erythropus,LC,,Epervier de Hartlaub,Epervier de Hartlaub,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
271,CM,B,Epervier de l'Ovampo,Ovambo Sparrowhawk,Accipiter ovampensis,Accipiter ovampensis,LC,,Epervier de l'Ovampo,Epervier de l'Ovampo,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
272,CM,B,Epervier shikra,Shikra,Accipiter badius,Accipiter badius,LC,,Epervier shikra,Epervier shikra,IUCN,,Match,ARRÊTÉ N° 0053 / MINFOF DU 01 APR 2020 fixant les modalités de répartition des espèces animales en classes de protection.,1-Apr-20,0053 français-1,PDF,personal communication from Matthew LeBreton,1-Feb-22
