scientific_name,Common Name,Species Class,Threat Class
Mops congicus,Medje Mops Bat,MAMMALIA,LC
Mops demonstrator,Mongalla Mops Bat,MAMMALIA,LC
Mops midas,Midas Mops Bat,MAMMALIA,LC
Mops nanulus,Dwarf Mops Bat,MAMMALIA,LC
Mops niangarae,Niangara Mops Bat,MAMMALIA,DD
Mops niveiventer,White-bellied Mops Bat,MAMMALIA,LC
Mops petersoni,Peterson's Mops Bat,MAMMALIA,NT
Mops spurrelli,Spurrell's Mops Bat,MAMMALIA,LC
Mops thersites,Railer Bat,MAMMALIA,LC
Mops trevori,Trevor's Mops Bat,MAMMALIA,DD
Mus callewaerti,Callewaert's Mouse,MAMMALIA,DD
Mus goundae,Gounda Mouse,MAMMALIA,DD
Mus oubanguii,Oubangui Mouse,MAMMALIA,DD
Myopterus daubentonii,Daubenton's Free-tailed Bat,MAMMALIA,DD
Myopterus whitleyi,Bini Free-tailed Bat,MAMMALIA,LC
Myosorex eisentrauti,Eisentraut's Mouse Shrew,MAMMALIA,CR
Myosorex schalleri,Schaller's Mouse Shrew,MAMMALIA,DD
Myosorex blarina,Montane Mouse Shrew,MAMMALIA,EN
Myosorex okuensis,Oku Mouse Shrew,MAMMALIA,VU
Myosorex rumpii,Rumpi Mouse Shrew,MAMMALIA,EN
Myotis bocagii,Bocage's Mouse-eared Bat,MAMMALIA,LC
Neotragus batesi,Bates' Pygmy Antelope,MAMMALIA,LC
Nycteris arge,Bate's Slit-faced Bat,MAMMALIA,LC
Nycteris intermedia,Intermediate Slit-faced Bat,MAMMALIA,LC
Nycteris major,Dja Slit-faced Bat,MAMMALIA,DD
Nycteris thebaica,Cape Long-eared Bat,MAMMALIA,LC
Okapia johnstoni,Okapi,MAMMALIA,EN
Orcinus orca,Killer Whale,MAMMALIA,DD
Oreotragus oreotragus,Klipspringer,MAMMALIA,LC
Genetta piscivora,Aquatic Genet,MAMMALIA,NT
Osteolaemus tetraspis,African Dwarf Crocodile,REPTILIA,VU
Otolemur crassicaudatus,Thick-tailed Greater Galago,MAMMALIA,LC
Otomops martiensseni,Large-eared Free-tailed Bat,MAMMALIA,NT
Otomys tropicalis,Tropical Vlei Rat,MAMMALIA,LC
Ourebia ourebi,Oribi,MAMMALIA,LC
Pan paniscus,Bonobo,MAMMALIA,EN
Pan troglodytes,Chimpanzee,MAMMALIA,EN
Pan troglodytes ssp. troglodytes,Central Chimpanzee,MAMMALIA,EN
Pan troglodytes ssp. schweinfurthii,Eastern Chimpanzee,MAMMALIA,EN
Panthera leo,Lion,MAMMALIA,VU
Panthera pardus,Leopard,MAMMALIA,VU
Paracrocidura maxima,Greater Large-headed Shrew,MAMMALIA,LC
Paraxerus poensis,Green Bush Squirrel,MAMMALIA,LC
Pedetes capensis,Spring Hare,MAMMALIA,LC
Pelusios rhodesianus,Variable Hinged Terrapin,REPTILIA,LR/lc
Pelusios upembae,Upemba Mud Turtle,REPTILIA,DD
Peponocephala electra,Melon-headed Whale,MAMMALIA,LC
Pipistrellus rueppellii,Rüppel's Pipistrelle,MAMMALIA,LC
Pipistrellus rusticus,Rusty Bat,MAMMALIA,LC
Plerotes anchietae,D'Anchieta's Fruit Bat,MAMMALIA,DD
Potamogale velox,Giant Otter Shrew,MAMMALIA,LC
