scientific_name,Common Name,Species Class,Threat Class
Hirundo leucosoma,Pied-winged Swallow,AVES,LC
Hirundo dimidiata,Pearl-breasted Swallow,AVES,LC
Cecropis cucullata,Greater Striped Swallow,AVES,LC
Cecropis abyssinica,Lesser Striped Swallow,AVES,LC
Cecropis semirufa,Rufous-chested Swallow,AVES,LC
Cecropis senegalensis,Mosque Swallow,AVES,LC
Petrochelidon preussi,Preuss's Swallow,AVES,LC
Petrochelidon rufigula,Red-throated Swallow,AVES,LC
Petrochelidon spilodera,South African Swallow,AVES,LC
Atronanus fuliginosus,Forest Swallow,AVES,LC
Psalidoprocne nitens,Square-tailed Saw-wing,AVES,LC
Psalidoprocne fuliginosa,Mountain Saw-wing,AVES,LC
Psalidoprocne albiceps,White-headed Saw-wing,AVES,LC
Psalidoprocne pristoptera,Black Saw-wing,AVES,LC
Psalidoprocne obscura,Fanti Saw-wing,AVES,LC
Pycnonotus barbatus,Common Bulbul,AVES,LC
Arizelocichla montana,Cameroon Mountain Greenbul,AVES,NT
Arizelocichla masukuensis,Shelley's Greenbul,AVES,LC
Eurillas virens,Little Greenbul,AVES,LC
Eurillas gracilis,Grey Greenbul,AVES,LC
Eurillas ansorgei,Ansorge's Greenbul,AVES,LC
Eurillas curvirostris,Plain Greenbul,AVES,LC
Stelgidillas gracilirostris,Slender-billed Greenbul,AVES,LC
Eurillas latirostris,Yellow-whiskered Greenbul,AVES,LC
Arizelocichla tephrolaema,Western Mountain Greenbul,AVES,LC
Calyptocichla serinus,Golden Greenbul,AVES,LC
Baeopogon indicator,Honeyguide Greenbul,AVES,LC
Baeopogon clamans,White-tailed Greenbul,AVES,LC
Ixonotus guttatus,Spotted Greenbul,AVES,LC
Chlorocichla simplex,Simple Greenbul,AVES,LC
Chlorocichla falkensteini,Falkenstein's Greenbul,AVES,LC
Chlorocichla flaviventris,Yellow-bellied Greenbul,AVES,LC
Chlorocichla laetissima,Joyful Greenbul,AVES,LC
Chlorocichla prigoginei,Prigogine's Greenbul,AVES,EN
Thescelocichla leucopleura,Swamp Palm Bulbul,AVES,LC
Pyrrhurus scandens,Leaf-love,AVES,LC
Phyllastrephus cabanisi,Cabanis's Greenbul,AVES,LC
Phyllastrephus terrestris,Terrestrial Brownbul,AVES,LC
Phyllastrephus fulviventris,Pale-olive Greenbul,AVES,LC
Phyllastrephus cerviniventris,Grey-olive Greenbul,AVES,LC
Phyllastrephus poensis,Cameroon Olive Greenbul,AVES,LC
Phyllastrephus hypochloris,Toro Olive Greenbul,AVES,LC
Phyllastrephus lorenzi,Sassi's Olive Greenbul,AVES,LC
Phyllastrephus poliocephalus,Grey-headed Greenbul,AVES,NT
Phyllastrephus xavieri,Xavier's Greenbul,AVES,LC
Bleda syndactylus,Red-tailed Bristlebill,AVES,LC
Nicator chloris,Western Nicator,AVES,LC
Nicator vireo,Yellow-throated Nicator,AVES,LC
Criniger chloronotus,Eastern Bearded Greenbul,AVES,LC
Criniger calurus,Red-tailed Greenbul,AVES,LC
Criniger ndussumensis,White-bearded Greenbul,AVES,LC
Neolestes torquatus,Black-collared Bulbul,AVES,LC
Cisticola erythrops,Red-faced Cisticola,AVES,LC
Cisticola cantans,Singing Cisticola,AVES,LC
Cisticola lateralis,Whistling Cisticola,AVES,LC
Cisticola anonymus,Chattering Cisticola,AVES,LC
Cisticola woosnami,Trilling Cisticola,AVES,LC
Cisticola bulliens,Bubbling Cisticola,AVES,LC
Cisticola chiniana,Rattling Cisticola,AVES,LC
Cisticola ruficeps,Red-pate Cisticola,AVES,LC
Cisticola guinea,Dorst's Cisticola,AVES,LC
Cisticola rufilatus,Tinkling Cisticola,AVES,LC
Cisticola pipiens,Chirping Cisticola,AVES,LC
Cisticola carruthersi,Carruthers's Cisticola,AVES,LC
Cisticola tinniens,Levaillant's Cisticola,AVES,LC
Cisticola robustus,Stout Cisticola,AVES,LC
Cisticola natalensis,Croaking Cisticola,AVES,LC
Cisticola fulvicapilla,Neddicky,AVES,LC
Cisticola angusticauda,Tabora Cisticola,AVES,LC
Cisticola melanurus,Black-tailed Cisticola,AVES,DD
Cisticola brachypterus,Short-winged Cisticola,AVES,LC
Cisticola rufus,Rufous Cisticola,AVES,LC
Cisticola troglodytes,Foxy Cisticola,AVES,LC
Cisticola juncidis,Zitting Cisticola,AVES,LC
Cisticola eximius,Black-backed Cisticola,AVES,LC
Cisticola dambo,Dambo Cisticola,AVES,LC
Cisticola ayresii,Wing-snapping Cisticola,AVES,LC
Prinia subflava,Tawny-flanked Prinia,AVES,LC
Prinia fluviatilis,River Prinia,AVES,LC
Schistolais leucopogon,White-chinned Prinia,AVES,LC
Prinia bairdii,Banded Prinia,AVES,LC
Prinia erythroptera,Red-winged Prinia,AVES,LC
Drymocichla incana,Red-winged Grey Warbler,AVES,LC
Urolais epichlorus,Green Longtail,AVES,LC
Spiloptila clamans,Cricket Warbler,AVES,LC
Oreolais pulcher,Black-collared Apalis,AVES,LC
Oreolais ruwenzorii,Ruwenzori Apalis,AVES,LC
Apalis nigriceps,Black-capped Apalis,AVES,LC
Apalis jacksoni,Black-throated Apalis,AVES,LC
Apalis binotata,Masked Apalis,AVES,LC
Apalis personata,Black-faced Apalis,AVES,LC
Apalis rufogularis,Buff-throated Apalis,AVES,LC
Apalis argentea,Kungwe Apalis,AVES,LC
Apalis bamendae,Bamenda Apalis,AVES,LC
Apalis goslingi,Gosling's Apalis,AVES,LC
Apalis porphyrolaema,Chestnut-throated Apalis,AVES,LC
Apalis kaboboensis,Kabobo Apalis,AVES,NT
Apalis alticola,Brown-headed Apalis,AVES,LC
Hypergerus atriceps,Oriole Warbler,AVES,LC
Eminia lepida,Grey-capped Warbler,AVES,LC
Camaroptera superciliaris,Yellow-browed Camaroptera,AVES,LC
Zosterops melanocephalus,Mount Cameroon Speirops,AVES,VU
Zosterops brunneus,Bioko Speirops,AVES,VU
Zosterops senegalensis,African Yellow White-eye,AVES,LC
Zosterops griseovirescens,Annobon White-eye,AVES,VU
Bradypterus grandis,Dja River Swamp-warbler,AVES,NT
Bradypterus carpalis,White-winged Swamp-warbler,AVES,LC
Bradypterus graueri,Grauer's Swamp-warbler,AVES,EN
Bradypterus alfredi,Bamboo Warbler,AVES,LC
Bradypterus lopezi,Evergreen-forest Warbler,AVES,LC
Bradypterus cinnamomeus,Cinnamon Bracken-warbler,AVES,LC
Bathmocercus rufus,Black-faced Rufous-warbler,AVES,LC
Melocichla mentalis,Moustached Grass-warbler,AVES,LC
Locustella luscinioides,Savi's Warbler,AVES,LC
Acrocephalus schoenobaenus,Sedge Warbler,AVES,LC
Acrocephalus scirpaceus,Common Reed-warbler,AVES,LC
Acrocephalus palustris,Marsh Warbler,AVES,LC
Acrocephalus rufescens,Greater Swamp-warbler,AVES,LC
Acrocephalus gracilirostris,Lesser Swamp-warbler,AVES,LC
Hippolais olivetorum,Olive-tree Warbler,AVES,LC
Hippolais polyglotta,Melodious Warbler,AVES,LC
Hippolais icterina,Icterine Warbler,AVES,LC
Iduna natalensis,African Yellow Warbler,AVES,LC
Iduna similis,Mountain Yellow Warbler,AVES,LC
Phyllolais pulchella,Buff-bellied Warbler,AVES,LC
Poliolais lopezi,White-tailed Warbler,AVES,NT
Graueria vittata,Grauer's Warbler,AVES,LC
Eremomela icteropygialis,Yellow-bellied Eremomela,AVES,LC
Eremomela canescens,Green-backed Eremomela,AVES,LC
Eremomela scotops,Green-capped Eremomela,AVES,LC
Eremomela badiceps,Rufous-crowned Eremomela,AVES,LC
Eremomela turneri,Turner's Eremomela,AVES,NT
Eremomela atricollis,Black-necked Eremomela,AVES,LC
Sylvietta virens,Green Crombec,AVES,LC
Sylvietta denti,Lemon-bellied Crombec,AVES,LC
Sylvietta chapini,Lendu Crombec,AVES,CR
Sylvietta leucophrys,White-browed Crombec,AVES,LC
Sylvietta ruficapilla,Red-capped Crombec,AVES,LC
Sylvietta rufescens,Long-billed Crombec,AVES,LC
Hemitesia neumanni,Neumann's Warbler,AVES,LC
Macrosphenus kempi,Kemp's Longbill,AVES,LC
Macrosphenus flavicans,Yellow Longbill,AVES,LC
Macrosphenus concolor,Grey Longbill,AVES,LC
Hylia prasina,Green Hylia,AVES,LC
Phylloscopus laetus,Red-faced Woodland-warbler,AVES,LC
Phylloscopus laurae,Laura's Woodland-warbler,AVES,LC
Phylloscopus herberti,Black-capped Woodland-warbler,AVES,LC
Phylloscopus budongoensis,Uganda Woodland-warbler,AVES,LC
Phylloscopus umbrovirens,Brown Woodland-warbler,AVES,LC
Phylloscopus trochilus,Willow Warbler,AVES,LC
Phylloscopus bonelli,Western Bonelli's Warbler,AVES,LC
Phylloscopus sibilatrix,Wood Warbler,AVES,LC
Hyliota flavigaster,Yellow-bellied Hyliota,AVES,LC
Hyliota australis,Southern Hyliota,AVES,LC
Hyliota violacea,Violet-backed Hyliota,AVES,LC
Schoenicola brevirostris,Fan-tailed Grassbird,AVES,LC
Illadopsis cleaveri,Black-capped Illadopsis,AVES,LC
Illadopsis albipectus,Scaly-breasted Illadopsis,AVES,LC
Illadopsis puveli,Puvel's Illadopsis,AVES,LC
Illadopsis fulvescens,Brown Illadopsis,AVES,LC
Illadopsis pyrrhoptera,Mountain Illadopsis,AVES,LC
Kakamega poliothorax,Grey-chested Kakamega,AVES,LC
Illadopsis turdina,Spotted Illadopsis,AVES,LC
Turdoides reinwardtii,Blackcap Babbler,AVES,LC
Turdoides tenebrosa,Dusky Babbler,AVES,LC
Turdoides hartlaubii,Hartlaub's Babbler,AVES,LC
Turdoides sharpei,Black-lored Babbler,AVES,LC
Turdoides plebejus,Brown Babbler,AVES,LC
Turdoides jardineii,Arrow-marked Babbler,AVES,LC
Kupeornis gilberti,White-throated Mountain-babbler,AVES,VU
Kupeornis rufocinctus,Red-collared Mountain-babbler,AVES,NT
Kupeornis chapini,Chapin's Mountain-babbler,AVES,NT
Sylvia lugens,Brown Warbler,AVES,LC
Sylvia atricapilla,Eurasian Blackcap,AVES,LC
Sylvia borin,Garden Warbler,AVES,LC
Sylvia communis,Common Whitethroat,AVES,LC
Sylvia nisoria,Barred Warbler,AVES,LC
Mirafra albicauda,White-tailed Lark,AVES,LC
Mirafra angolensis,Angola Lark,AVES,LC
Mirafra rufocinnamomea,Flappet Lark,AVES,LC
Pinarocorys erythropygia,Rufous-rumped Lark,AVES,LC
Pinarocorys nigricans,Dusky Lark,AVES,LC
Chersomanes albofasciata,Spike-heeled Lark,AVES,LC
Eremopterix leucotis,Chestnut-backed Sparrow-lark,AVES,LC
Eremopterix verticalis,Grey-backed Sparrow-lark,AVES,LC
Eremopterix leucopareia,Fischer's Sparrow-lark,AVES,LC
Galerida cristata,Crested Lark,AVES,LC
Galerida modesta,Sun Lark,AVES,LC
Anthreptes anchietae,Anchieta's Sunbird,AVES,LC
Anthreptes gabonicus,Mouse-brown Sunbird,AVES,LC
Anthreptes longuemarei,Western Violet-backed Sunbird,AVES,LC
Anthreptes aurantius,Violet-tailed Sunbird,AVES,LC
Hedydipna collaris,Collared Sunbird,AVES,LC
Hedydipna platura,Pygmy Sunbird,AVES,LC
Anthreptes seimundi,Little Green Sunbird,AVES,LC
Cinnyris batesi,Bates's Sunbird,AVES,LC
Cyanomitra olivacea,Olive Sunbird,AVES,LC
Anabathmis reichenbachii,Reichenbach's Sunbird,AVES,LC
Cyanomitra oritis,Cameroon Sunbird,AVES,LC
Cyanomitra alinae,Blue-headed Sunbird,AVES,LC
Cyanomitra verticalis,Green-headed Sunbird,AVES,LC
Cyanomitra bannermani,Bannerman's Sunbird,AVES,LC
Cyanomitra cyanolaema,Blue-throated Brown Sunbird,AVES,LC
Chalcomitra fuliginosa,Carmelite Sunbird,AVES,LC
Chalcomitra amethystina,Amethyst Sunbird,AVES,LC
Chalcomitra rubescens,Green-throated Sunbird,AVES,LC
Chalcomitra senegalensis,Scarlet-chested Sunbird,AVES,LC
Chalcomitra adelberti,Buff-throated Sunbird,AVES,LC
Cinnyris venustus,Variable Sunbird,AVES,LC
Cinnyris ursulae,Ursula's Sunbird,AVES,LC
Cinnyris talatala,White-breasted Sunbird,AVES,LC
Cinnyris bouvieri,Orange-tufted Sunbird,AVES,LC
Cinnyris osea,Palestine Sunbird,AVES,LC
Cinnyris reichenowi,Northern Double-collared Sunbird,AVES,LC
Cinnyris chloropygius,Olive-bellied Sunbird,AVES,LC
Cinnyris minullus,Tiny Sunbird,AVES,LC
Cinnyris regius,Regal Sunbird,AVES,LC
Cinnyris rockefelleri,Rockefeller's Sunbird,AVES,VU
Cinnyris cupreus,Copper Sunbird,AVES,LC
Nectarinia purpureiventris,Purple-breasted Sunbird,AVES,LC
Nectarinia bocagii,Bocage's Sunbird,AVES,LC
Nectarinia kilimensis,Bronze Sunbird,AVES,LC
Drepanorhynchus reichenowi,Golden-winged Sunbird,AVES,LC
Nectarinia famosa,Malachite Sunbird,AVES,LC
Nectarinia johnstoni,Red-tufted Sunbird,AVES,LC
Cinnyris shelleyi,Shelley's Sunbird,AVES,LC
Cinnyris erythrocercus,Red-chested Sunbird,AVES,LC
Cinnyris congensis,Congo Sunbird,AVES,LC
Cinnyris coccinigastrus,Splendid Sunbird,AVES,LC
Cinnyris johannae,Johanna's Sunbird,AVES,LC
Cinnyris superbus,Superb Sunbird,AVES,LC
Passer griseus,Northern Grey-headed Sparrow,AVES,LC
Passer luteus,Sudan Golden Sparrow,AVES,LC
Gymnoris superciliaris,Yellow-throated Bush-sparrow,AVES,LC
Gymnoris dentata,Sahel Bush-sparrow,AVES,LC
Motacilla alba,White Wagtail,AVES,LC
Motacilla aguimp,African Pied Wagtail,AVES,LC
Motacilla capensis,Cape Wagtail,AVES,LC
Motacilla cinerea,Grey Wagtail,AVES,LC
Motacilla clara,Mountain Wagtail,AVES,LC
Macronyx croceus,Yellow-throated Longclaw,AVES,LC
Macronyx fuelleborni,Fülleborn's Longclaw,AVES,LC
Macronyx ameliae,Rosy-throated Longclaw,AVES,LC
Macronyx grimwoodi,Grimwood's Longclaw,AVES,DD
Anthus lineiventris,Striped Pipit,AVES,LC
Anthus hoeschi,Mountain Pipit,AVES,NT
Anthus leucophrys,Plain-backed Pipit,AVES,LC
Anthus vaalensis,Buffy Pipit,AVES,LC
Anthus pallidiventris,Long-legged Pipit,AVES,LC
Anthus campestris,Tawny Pipit,AVES,LC
Anthus brachyurus,Short-tailed Pipit,AVES,LC
Anthus trivialis,Tree Pipit,AVES,LC
Anthus cervinus,Red-throated Pipit,AVES,LC
Bubalornis albirostris,White-billed Buffalo-weaver,AVES,LC
Sporopipes frontalis,Speckle-fronted Weaver,AVES,LC
Plocepasser superciliosus,Chestnut-crowned Sparrow-weaver,AVES,LC
Plocepasser rufoscapulatus,Chestnut-backed Sparrow-weaver,AVES,LC
Ploceus bannermani,Bannerman's Weaver,AVES,VU
Ploceus batesi,Bates's Weaver,AVES,EN
Ploceus nigrimentus,Black-chinned Weaver,AVES,LC
Ploceus baglafecht,Baglafecht Weaver,AVES,LC
Ploceus pelzelni,Slender-billed Weaver,AVES,LC
Ploceus subpersonatus,Loango Weaver,AVES,VU
Ploceus luteolus,Little Weaver,AVES,LC
Ploceus intermedius,Lesser Masked Weaver,AVES,LC
Ploceus ocularis,Spectacled Weaver,AVES,LC
Ploceus melanogaster,Black-billed Weaver,AVES,LC
Ploceus alienus,Strange Weaver,AVES,LC
Ploceus temporalis,Bocage's Weaver,AVES,LC
Ploceus xanthops,Holub's Golden Weaver,AVES,LC
Ploceus aurantius,Orange Weaver,AVES,LC
Ploceus xanthopterus,Southern Brown-throated Weaver,AVES,LC
Ploceus castanops,Northern Brown-throated Weaver,AVES,LC
Ploceus heuglini,Heuglin's Masked Weaver,AVES,LC
Ploceus taeniopterus,Northern Masked Weaver,AVES,LC
Ploceus vitellinus,Vitelline Masked Weaver,AVES,LC
Ploceus ruweti,Lufira Masked Weaver,AVES,DD
Ploceus cucullatus,Village Weaver,AVES,LC
Ploceus weynsi,Weyns's Weaver,AVES,LC
Ploceus melanocephalus,Black-headed Weaver,AVES,LC
Ploceus aureonucha,Golden-naped Weaver,AVES,EN
Ploceus tricolor,Yellow-mantled Weaver,AVES,LC
Ploceus albinucha,Maxwell's Black Weaver,AVES,LC
Ploceus bicolor,Dark-backed Weaver,AVES,LC
Ploceus preussi,Preuss's Weaver,AVES,LC
Ploceus dorsomaculatus,Yellow-capped Weaver,AVES,LC
Ploceus insignis,Brown-capped Weaver,AVES,LC
Ploceus angolensis,Bar-winged Weaver,AVES,LC
Ploceus superciliosus,Compact Weaver,AVES,LC
Ploceus flavipes,Yellow-legged Weaver,AVES,VU
Malimbus coronatus,Red-crowned Malimbe,AVES,LC
Malimbus cassini,Cassin's Malimbe,AVES,LC
Malimbus racheliae,Rachel's Malimbe,AVES,LC
Malimbus scutatus,Red-vented Malimbe,AVES,LC
Malimbus erythrogaster,Red-bellied Malimbe,AVES,LC
Malimbus nitens,Blue-billed Malimbe,AVES,LC
Malimbus malimbicus,Crested Malimbe,AVES,LC
Malimbus rubricollis,Red-headed Malimbe,AVES,LC
Brachycope anomala,Bob-tailed Weaver,AVES,LC
Quelea cardinalis,Cardinal Quelea,AVES,LC
Quelea erythrops,Red-headed Quelea,AVES,LC
Quelea quelea,Red-billed Quelea,AVES,LC
Euplectes afer,Yellow-crowned Bishop,AVES,LC
Euplectes gierowii,Black Bishop,AVES,LC
Euplectes hordeaceus,Black-winged Bishop,AVES,LC
Euplectes franciscanus,Northern Red Bishop,AVES,LC
Euplectes orix,Southern Red Bishop,AVES,LC
Euplectes capensis,Yellow Bishop,AVES,LC
Euplectes axillaris,Fan-tailed Widowbird,AVES,LC
Euplectes macroura,Yellow-mantled Widowbird,AVES,LC
Euplectes albonotatus,White-winged Widowbird,AVES,LC
Euplectes hartlaubi,Marsh Widowbird,AVES,LC
Euplectes progne,Long-tailed Widowbird,AVES,LC
Anomalospiza imberbis,Cuckoo-finch,AVES,LC
Amblyospiza albifrons,Thick-billed Weaver,AVES,LC
Parmoptila woodhousei,Woodhouse's Antpecker,AVES,LC
Nigrita fusconotus,White-breasted Nigrita,AVES,LC
Nigrita bicolor,Chestnut-breasted Nigrita,AVES,LC
Nigrita luteifrons,Pale-fronted Nigrita,AVES,LC
Nigrita canicapillus,Grey-headed Nigrita,AVES,LC
Nesocharis shelleyi,Shelley's Oliveback,AVES,LC
Nesocharis ansorgei,White-collared Oliveback,AVES,LC
Nesocharis capistrata,Grey-headed Oliveback,AVES,LC
Pytilia afra,Orange-winged Pytilia,AVES,LC
Pytilia melba,Green-winged Pytilia,AVES,LC
Pytilia hypogrammica,Yellow-winged Pytilia,AVES,LC
Mandingoa nitidula,Green Twinspot,AVES,LC
Cryptospiza reichenovii,Red-faced Crimsonwing,AVES,LC
Cryptospiza salvadorii,Abyssinian Crimsonwing,AVES,LC
Cryptospiza jacksoni,Dusky Crimsonwing,AVES,LC
Cryptospiza shelleyi,Shelley's Crimsonwing,AVES,EN
Pyrenestes ostrinus,Black-bellied Seedcracker,AVES,LC
Spermophaga poliogenys,Grant's Bluebill,AVES,LC
Spermophaga haematina,Western Bluebill,AVES,LC
Spermophaga ruficapilla,Red-headed Bluebill,AVES,LC
Clytospiza monteiri,Brown Twinspot,AVES,LC
Hypargos niveoguttatus,Red-throated Twinspot,AVES,LC
Euschistospiza dybowskii,Dybowski's Twinspot,AVES,LC
Euschistospiza cinereovinacea,Dusky Twinspot,AVES,LC
Lagonosticta rufopicta,Bar-breasted Firefinch,AVES,LC
Lagonosticta nitidula,Brown Firefinch,AVES,LC
Lagonosticta senegala,Red-billed Firefinch,AVES,LC
Lagonosticta rara,Black-bellied Firefinch,AVES,LC
Uraeginthus angolensis,Blue-breasted Cordon-bleu,AVES,LC
Uraeginthus bengalus,Red-cheeked Cordon-bleu,AVES,LC
Estrilda coerulescens,Lavender Waxbill,AVES,LC
Estrilda perreini,Black-tailed Waxbill,AVES,LC
Estrilda paludicola,Fawn-breasted Waxbill,AVES,LC
Estrilda melpoda,Orange-cheeked Waxbill,AVES,LC
Estrilda rhodopyga,Crimson-rumped Waxbill,AVES,LC
Estrilda troglodytes,Black-rumped Waxbill,AVES,LC
Estrilda astrild,Common Waxbill,AVES,LC
Estrilda nigriloris,Black-lored Waxbill,AVES,DD
Estrilda nonnula,Black-crowned Waxbill,AVES,LC
Amandava subflava,Zebra Waxbill,AVES,LC
Paludipasser locustella,Locust Finch,AVES,LC
Euodice cantans,African Silverbill,AVES,LC
Spermestes cucullata,Bronze Mannikin,AVES,LC
Spermestes fringilloides,Magpie Mannikin,AVES,LC
Amadina fasciata,Cut-throat Finch,AVES,LC
Vidua chalybeata,Village Indigobird,AVES,LC
Vidua raricola,Jambandu Indigobird,AVES,LC
Vidua larvaticola,Barka Indigobird,AVES,LC
Vidua purpurascens,Purple Indigobird,AVES,LC
Vidua wilsoni,Wilson's Indigobird,AVES,LC
Vidua macroura,Pin-tailed Whydah,AVES,LC
Vidua togoensis,Togo Paradise-whydah,AVES,LC
Vidua paradisaea,Long-tailed Paradise-whydah,AVES,LC
Vidua obtusa,Broad-tailed Paradise-whydah,AVES,LC
Crithagra frontalis,Yellow-browed Citril,AVES,LC
Crithagra capistrata,Black-faced Canary,AVES,LC
Crithagra koliensis,Papyrus Canary,AVES,LC
Crithagra leucopygia,White-rumped Seedeater,AVES,LC
Crithagra mozambica,Yellow-fronted Canary,AVES,LC
Crithagra sulphurata,Brimstone Canary,AVES,LC
Crithagra mennelli,Black-eared Seedeater,AVES,LC
Crithagra burtoni,Thick-billed Seedeater,AVES,LC
Linurgus olivaceus,Oriole Finch,AVES,LC
Emberiza hortulana,Ortolan Bunting,AVES,LC
Emberiza impetuani,Lark-like Bunting,AVES,LC
Emberiza flaviventris,Golden-breasted Bunting,AVES,LC
Emberiza affinis,Brown-rumped Bunting,AVES,LC
Emberiza cabanisi,Cabanis's Bunting,AVES,LC
Bradypterus bangwaensis,Bangwa Warbler,AVES,NT
Psittacus erithacus,Grey Parrot,AVES,EN
Apus horus,Horus Swift,AVES,LC
Corythaixoides leopoldi,Black-faced Go-away-bird,AVES,LC
Turnix nanus,Black-rumped Buttonquail,AVES,LC
Ceuthmochares aereus,Chattering Yellowbill,AVES,LC
Merops viridissimus,African Green Bee-eater,AVES,LC
Tockus erythrorhynchus,Red-billed Hornbill,AVES,LC
Horizocerus cassini,Eastern Long-tailed Hornbill,AVES,LC
Bycanistes sharpii,Eastern Piping Hornbill,AVES,LC
Trachylaemus purpuratus,Eastern Yellow-billed Barbet,AVES,LC
Gymnobucco calvus,Naked-faced Barbet,AVES,LC
Gymnobucco bonapartei,Grey-throated Barbet,AVES,LC
Gymnobucco cinereiceps,Grey-headed Barbet,AVES,LC
Lybius leucocephalus,White-headed Barbet,AVES,LC
Pogonornis minor,Brown-faced Barbet,AVES,LC
Pogonornis macclounii,White-faced Barbet,AVES,LC
Campethera taeniolaema,Fine-banded Woodpecker,AVES,LC
Campethera tullbergi,Tullberg's Woodpecker,AVES,LC
Horizocerus hartlaubi,Western Little Hornbill,AVES,LC
Horizocerus granti,Eastern Little Hornbill,AVES,LC
Dendropicos elliotii,Elliot's Woodpecker,AVES,LC
Dendropicos johnstoni,Johnston's Woodpecker,AVES,LC
Ciconia microscelis,African Woollyneck,AVES,LC
Charadrius tricollaris,African Three-banded Plover,AVES,LC
Charadrius alexandrinus,Kentish Plover,AVES,LC
Ardea brachyrhyncha,Yellow-billed Egret,AVES,LC
Accipiter tachiro,African Goshawk,AVES,LC
Accipiter toussenelii,Red-chested Goshawk,AVES,LC
Falco ruficollis,Red-necked Falcon,AVES,LC
Himantopus himantopus,Black-winged Stilt,AVES,LC
Buteo oreophilus,Mountain Buzzard,AVES,NT
Butorides striata,Green-backed Heron,AVES,LC
Scleroptila whytei,Whyte's Francolin,AVES,LC
Scleroptila shelleyi,Shelley's Francolin,AVES,LC
Egretta gularis,Western Reef-egret,AVES,LC
Anas crecca,Common Teal,AVES,LC
Bubo poensis,Fraser's Eagle-owl,AVES,LC
Caprimulgus pectoralis,Fiery-necked Nightjar,AVES,LC
Caprimulgus poliocephalus,Montane Nightjar,AVES,LC
Campethera bennettii,Bennett's Woodpecker,AVES,LC
Dendropicos gabonensis,Gabon Woodpecker,AVES,LC
Dendropicos goertae,Grey Woodpecker,AVES,LC
Mirafra africana,Rufous-naped Lark,AVES,LC
Phyllastrephus flavostriatus,Yellow-streaked Greenbul,AVES,LC
Lanius collaris,Common Fiscal,AVES,LC
Chlorophoneus multicolor,Many-coloured Bush-shrike,AVES,LC
Prionops caniceps,Red-billed Helmetshrike,AVES,LC
Geokichla piaggiae,Abyssinian Ground-thrush,AVES,LC
Cisticola chubbi,Chubb's Cisticola,AVES,LC
Apalis cinerea,Grey Apalis,AVES,LC
Eremomela pusilla,Senegal Eremomela,AVES,LC
Terpsiphone rufiventer,Red-bellied Paradise-flycatcher,AVES,LC
Anthoscopus caroli,Grey Penduline-tit,AVES,LC
Melaniparus leucomelas,Dark-eyed Black Tit,AVES,LC
Crithagra atrogularis,Black-throated Canary,AVES,LC
Crithagra striolata,Streaky Seedeater,AVES,LC
Lagonosticta rubricata,African Firefinch,AVES,LC
Buteo augur,Augur Buzzard,AVES,LC
Calonectris borealis,Cory's Shearwater,AVES,LC
Circaetus beaudouini,Beaudouin's Snake-eagle,AVES,VU
Poicephalus fuscicollis,Brown-necked Parrot,AVES,LC
Vidua camerunensis,Cameroon Indigobird,AVES,LC
Vidua nigeriae,Quailfinch Indigobird,AVES,LC
Serinus flavivertex,Yellow-crowned Canary,AVES,LC
Iduna opaca,Isabelline Warbler,AVES,LC
Batis erlangeri,Western Black-headed Batis,AVES,LC
Turdus abyssinicus,Abyssinian Thrush,AVES,LC
Parmoptila jamesoni,Jameson's Antpecker,AVES,LC
Circaetus gallicus,Short-toed Snake-eagle,AVES,LC
Circaetus pectoralis,Black-chested Snake-eagle,AVES,LC
Iduna pallida,Olivaceous Warbler,AVES,LC
Milvus migrans,Black Kite,AVES,LC
Sylvia curruca,Lesser Whitethroat,AVES,LC
Stiphrornis pyrrholaemus,Olive-backed Forest-robin,AVES,NT
Ixobrychus minutus,Common Little Bittern,AVES,LC
Rostratula benghalensis,Greater Painted-snipe,AVES,LC
Corvus albus,Pied Crow,AVES,LC
Ortygospiza atricollis,African Quailfinch,AVES,LC
Vidua funerea,Dusky Indigobird,AVES,LC
Merops muelleri,Blue-headed Bee-eater,AVES,LC
Merops mentalis,Blue-moustached Bee-eater,AVES,NT
Buteo rufinus,Long-legged Buzzard,AVES,LC
Kinyongia gyrolepis,Circular-scaled Chameleon,REPTILIA,DD
Struthio camelus,Common Ostrich,AVES,LC
Calonectris diomedea,Scopoli's Shearwater,AVES,LC
Burhinus oedicnemus,Eurasian Thick-knee,AVES,LC
Falco peregrinus,Peregrine Falcon,AVES,LC
Crocodylus niloticus,Nile Crocodile,REPTILIA,LC
Treron calvus,African Green-pigeon,AVES,LC
Guttera verreauxi,Western Crested Guineafowl,AVES,LC
Arthroleptis stenodactylus,Dune Squeaker,AMPHIBIA,LC
Arthroleptis schubotzi,Schubotz's Squeaker,AMPHIBIA,LC
Sarkidiornis melanotos,African Comb Duck,AVES,LC
Myosorex jejei,Kahuzi Swamp Shrew,MAMMALIA,VU
Sylvisorex akaibei,Dudu Akaibe’s Pygmy Shrew,MAMMALIA,DD
Sylvisorex silvanorum,Bamenda Pygmy Shrew,MAMMALIA,DD
Sclerophrys superciliaris,Cameroon Toad,AMPHIBIA,LC
Dermochelys coriacea Southwest Atlantic Ocean subpopulation,Leatherback,REPTILIA,CR
Dermochelys coriacea Southeast Atlantic Ocean subpopulation,Leatherback,REPTILIA,DD
Acomys muzei,Muze Spiny Mouse,MAMMALIA,LC
