scientific_name,subspecies,category,Common Name,Species Class,Threat Class
Cossypha niveicapilla,,LC,Snowy-crowned Robin-chat,AVES,LC
Cossypha albicapillus,,LC,White-crowned Robin-chat,AVES,LC
Cichladusa ruficauda,,LC,Rufous-tailed Palm-thrush,AVES,LC
Tychaedon leucosticta,,LC,Forest Scrub-robin,AVES,LC
Cercotrichas hartlaubi,,LC,Brown-backed Scrub-robin,AVES,LC
Cercotrichas galactotes,,LC,Rufous-tailed Scrub-robin,AVES,LC
Phoenicurus phoenicurus,,LC,Common Redstart,AVES,LC
Saxicola rubetra,,LC,Whinchat,AVES,LC
Oenanthe hispanica,,LC,Black-eared Wheatear,AVES,LC
Oenanthe heuglinii,,LC,Heuglin's Wheatear,AVES,LC
Oenanthe familiaris,,LC,Familiar Chat,AVES,LC
Myrmecocichla tholloni,,LC,Congo Moor-chat,AVES,LC
Myrmecocichla aethiops,,LC,Northern Anteater-chat,AVES,LC
Myrmecocichla nigra,,LC,Sooty Chat,AVES,LC
Oenanthe albifrons,,LC,White-fronted Black-chat,AVES,LC
Thamnolaea cinnamomeiventris,,LC,Mocking Cliff-chat,AVES,LC
Poeoptera lugubris,,LC,Narrow-tailed Starling,AVES,LC
Grafisia torquata,,LC,White-collared Starling,AVES,LC
Onychognathus fulgidus,,LC,Chestnut-winged Starling,AVES,LC
Hylopsar purpureiceps,,LC,Purple-headed Starling,AVES,LC
Lamprotornis purpureus,,LC,Purple Starling,AVES,LC
Lamprotornis chalcurus,,LC,Bronze-tailed Starling,AVES,LC
Lamprotornis splendidus,,LC,Splendid Starling,AVES,LC
Lamprotornis caudatus,,LC,Long-tailed Glossy Starling,AVES,LC
Cinnyricinclus leucogaster,,LC,Violet-backed Starling,AVES,LC
Buphagus africanus,,LC,Yellow-billed Oxpecker,AVES,LC
Anthoscopus parvulus,,LC,Yellow Penduline-tit,AVES,LC
Anthoscopus flavifrons,,LC,Forest Penduline-tit,AVES,LC
Pholidornis rushiae,,LC,Tit-hylia,AVES,LC
Melaniparus guineensis,,LC,Pale-eyed Black Tit,AVES,LC
Melaniparus funereus,,LC,Dusky Tit,AVES,LC
Pseudochelidon eurystomina,,DD,African River Martin,AVES,DD
Riparia congica,,LC,Congo Sand Martin,AVES,LC
Neophedina cincta,,LC,Banded Martin,AVES,LC
Pseudhirundo griseopyga,,LC,Grey-rumped Swallow,AVES,LC
Hirundo rustica,,LC,Barn Swallow,AVES,LC
Hirundo aethiopica,,LC,Ethiopian Swallow,AVES,LC
Hirundo smithii,,LC,Wire-tailed Swallow,AVES,LC
Hirundo nigrita,,LC,White-bibbed Swallow,AVES,LC
Cecropis abyssinica,,LC,Lesser Striped Swallow,AVES,LC
Cecropis semirufa,,LC,Rufous-chested Swallow,AVES,LC
Cecropis senegalensis,,LC,Mosque Swallow,AVES,LC
Petrochelidon preussi,,LC,Preuss's Swallow,AVES,LC
Psalidoprocne nitens,,LC,Square-tailed Saw-wing,AVES,LC
Psalidoprocne pristoptera,,LC,Black Saw-wing,AVES,LC
Pycnonotus barbatus,,LC,Common Bulbul,AVES,LC
Eurillas virens,,LC,Little Greenbul,AVES,LC
Eurillas gracilis,,LC,Grey Greenbul,AVES,LC
Eurillas ansorgei,,LC,Ansorge's Greenbul,AVES,LC
Eurillas curvirostris,,LC,Plain Greenbul,AVES,LC
Stelgidillas gracilirostris,,LC,Slender-billed Greenbul,AVES,LC
Eurillas latirostris,,LC,Yellow-whiskered Greenbul,AVES,LC
Calyptocichla serinus,,LC,Golden Greenbul,AVES,LC
Baeopogon indicator,,LC,Honeyguide Greenbul,AVES,LC
Baeopogon clamans,,LC,White-tailed Greenbul,AVES,LC
Ixonotus guttatus,,LC,Spotted Greenbul,AVES,LC
Chlorocichla simplex,,LC,Simple Greenbul,AVES,LC
Chlorocichla falkensteini,,LC,Falkenstein's Greenbul,AVES,LC
Thescelocichla leucopleura,,LC,Swamp Palm Bulbul,AVES,LC
Pyrrhurus scandens,,LC,Leaf-love,AVES,LC
Phyllastrephus xavieri,,LC,Xavier's Greenbul,AVES,LC
Bleda syndactylus,,LC,Red-tailed Bristlebill,AVES,LC
Nicator chloris,,LC,Western Nicator,AVES,LC
Nicator vireo,,LC,Yellow-throated Nicator,AVES,LC
Criniger chloronotus,,LC,Eastern Bearded Greenbul,AVES,LC
Criniger calurus,,LC,Red-tailed Greenbul,AVES,LC
Criniger ndussumensis,,LC,White-bearded Greenbul,AVES,LC
Cisticola erythrops,,LC,Red-faced Cisticola,AVES,LC
