taxonid,scientific_name,subspecies,rank,subpopulation,category,country,Common Name,Species Class,Threat Class
41592,Bdeogale nigripes,,,,LC,,Black-legged Mongoose,MAMMALIA,LC
41593,Crossarchus alexandri,,,,LC,,Alexander's Cusimanse,MAMMALIA,LC
41594,Crossarchus ansorgei,,,,LC,,Ansorge's Cusimanse,MAMMALIA,LC
41598,Dologale dybowskii,,,,DD,,Pousargues's Mongoose,MAMMALIA,DD
41602,Pelusios subniger,,,,LR/lc,,Black-bellied Hinged Terrapin,REPTILIA,LR/lc
41606,Herpestes sanguineus,,,,LC,,Common Slender Mongoose,MAMMALIA,LC
41609,Helogale parvula,,,,LC,,Common Dwarf Mongoose,MAMMALIA,LC
41613,Herpestes ichneumon,,,,LC,,Egyptian Mongoose,MAMMALIA,LC
41615,Herpestes naso,,,,LC,,Long-nosed Mongoose,MAMMALIA,LC
41620,Ichneumia albicauda,,,,LC,,White-tailed Mongoose,MAMMALIA,LC
41621,Mungos mungo,,,,LC,,Banded Mongoose,MAMMALIA,LC
41623,Rhynchogale melleri,,,,LC,,Meller's Mongoose,MAMMALIA,LC
41629,Mellivora capensis,,,,LC,,Honey Badger,MAMMALIA,LC
41646,Ictonyx striatus,,,,LC,,Zorilla,MAMMALIA,LC
41662,Poecilogale albinucha,,,,LC,,African Striped Weasel,MAMMALIA,LC
41695,Civettictis civetta,,,,LC,,African Civet,MAMMALIA,LC
41696,Genetta angolensis,,,,LC,,Miombo Genet,MAMMALIA,LC
41699,Genetta maculata,,,,LC,,Large-spotted Genet,MAMMALIA,LC
41700,Genetta servalina,,,,LC,,Servaline Genet,MAMMALIA,LC
41703,Genetta victoriae,,,,LC,,Giant Genet,MAMMALIA,LC
41704,Poiana richardsonii,,,,LC,,Central African Oyan,MAMMALIA,LC
41766,Procavia capensis,,,,LC,,Rock Hyrax,MAMMALIA,LC
41768,Phacochoerus africanus,,,,LC,,Common Warthog,MAMMALIA,LC
41769,Hylochoerus meinertzhageni,,,,LC,,Forest Hog,MAMMALIA,LC
41770,Potamochoerus larvatus,,,,LC,,Bushpig,MAMMALIA,LC
41771,Potamochoerus porcus,,,,LC,,Red River Hog,MAMMALIA,LC
41879,Lepus victoriae,,,,LC,,African Savanna Hare,MAMMALIA,LC
42658,Elephantulus brachyrhynchus,,,,LC,,Short-snouted Sengi,MAMMALIA,LC
42659,Elephantulus fuscipes,,,,DD,,Dusky-footed Sengi,MAMMALIA,DD
42679,Petrodromus tetradactylus,,,,LC,,Four-toed Sengi,MAMMALIA,LC
44687,Hipposideros gigas,,,,LC,,Giant Leaf-nosed Bat,MAMMALIA,LC
44697,Epomophorus crypturus,,,,LC,,Peters's Epauletted Fruit Bat,MAMMALIA,LC
44857,Anomalurus beecrofti,,,,LC,,Beecroft's Scaly-tailed Squirrel,MAMMALIA,LC
44862,Miniopterus natalensis,,,,LC,,Natal Long-fingered Bat,MAMMALIA,LC
44918,Neoromicia capensis,,,,LC,,Cape Bat,MAMMALIA,LC
44920,Neoromicia guineensis,,,,LC,,Guinean Pipistrelle Bat,MAMMALIA,LC
44923,Neoromicia nana,,,,LC,,Banana Pipistrelle Bat,MAMMALIA,LC
44924,Neoromicia rendalli,,,,LC,,Rendall's Serotine,MAMMALIA,LC
44925,Neoromicia somalica,,,,LC,,Somali Serotine,MAMMALIA,LC
44926,Neoromicia tenuipinnis,,,,LC,,Slenderwinged Pipistrelle Bat,MAMMALIA,LC
44927,Neoromicia zuluensis,,,,LC,,Zulu Pipistrelle Bat,MAMMALIA,LC
45063,Otomys dartmouthi,,,,DD,,Ruwenzori Vlei Rat,MAMMALIA,DD
45078,Thamnomys schoutedeni,,,,DD,,Schouteden's Thicket Rat,MAMMALIA,DD
54357,Ptychadena tellinii,,,,LC,,Central Grassland Frog,AMPHIBIA,LC
54364,Arthroleptis adolfifriederici,,,,LC,,Rugege Forest Squeaker Frog,AMPHIBIA,LC
54390,Arthroleptis tuberosus,,,,DD,,Rainforest Screeching Frog,AMPHIBIA,DD
54391,Arthroleptis variabilis,,,,LC,,Buea Screeching Frog,AMPHIBIA,LC
54398,Cardioglossa cyaneospila,,,,NT,,Mukuzira Long-fingered Frog,AMPHIBIA,NT
54412,Arthroleptis xenochirus,,,,LC,,Marimba Screeching Frog,AMPHIBIA,LC
54415,Astylosternus batesi,,,,LC,,Benito River Night Frog,AMPHIBIA,LC
54442,Scotobleps gabonicus,,,,LC,,Gaboon Forest Frog,AMPHIBIA,LC
54443,Trichobatrachus robustus,,,,LC,,Hairy Frog,AMPHIBIA,LC
54600,Sclerophrys camerunensis,,,,LC,,Oban Toad,AMPHIBIA,LC
54653,Sclerophrys gracilipes,,,,LC,,French Congo Toad,AMPHIBIA,LC
54682,Sclerophrys kisoloensis,,,,LC,,Kisolo Toad,AMPHIBIA,LC
54688,Sclerophrys latifrons,,,,LC,,High Tropical Forest Toad,AMPHIBIA,LC
54765,Sclerophrys steindachneri,,,,LC,,Steindachner's Toad,AMPHIBIA,LC
55279,Hemisus guineensis,,,,LC,,Guinea Snout-burrower,AMPHIBIA,LC
55281,Hemisus marmoratus,,,,LC,,Marbled Snout-burrower,AMPHIBIA,LC
55284,Hemisus perreti,,,,LC,,Perret’s Shovelnose Frog,AMPHIBIA,LC
55285,Hemisus wittei,,,,DD,,De Witte’s Snout-burrower,AMPHIBIA,DD
56055,Acanthixalus spinosus,,,,LC,,African Wart Frog,AMPHIBIA,LC
56085,Afrixalus weidholzi,,,,LC,,Weidholz's Banana Frog,AMPHIBIA,LC
56093,Chrysobatrachus cupreonitens,,,,EN,,Itombwe Golden Frog,AMPHIBIA,EN
56116,Hyperolius benguellensis,,,,LC,,Benguella Long Reed Frog,AMPHIBIA,LC
56124,Hyperolius chrysogaster,,,,NT,,Goldbelly Reed Frog,AMPHIBIA,NT
56135,Hyperolius frontalis,,,,LC,,Bushoho Reed Frog,AMPHIBIA,LC
56147,Hyperolius kibarae,,,,DD,,Shaba Reed Frog,AMPHIBIA,DD
56156,Hyperolius leleupi,,,,EN,,Luvubu Reed Frog,AMPHIBIA,EN
